1:A1,1:A2,22:A1,22:A2,43:A1,43:A2,64:A1,64:A2,85:A1,85:A2,106:A1,106:A2,127:A1,127:A2,148:A1,148:A2,169:A1,169:A2,190:A1,190:A2,211:A1,211:A2,232:A1,232:A2,253:A1,253:A2,274:A1,274:A2,295:A1,295:A2,316:A1,316:A2,337:A1,337:A2,358:A1,358:A2,379:A1,379:A2,400:A1,400:A2,421:A1,421:A2
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7.7733786e-16,8.5704154e-16,4.07681e-16,-8.3350014e-17,3.0670407e-15,2.8984434e-15,3.779739e-15,-1.1969304e-15,1.0103238e-14,7.937597e-15,1.1914956e-14,-4.7868987e-15,1.7687124e-14,1.0964237e-14,1.8628093e-14,-9.732493e-15,1.4746137e-14,5.7871324e-15,1.1313046e-14,-8.469278e-15,1.0538699e-15,-2.265069e-16,4.3583498e-16,-3.9251287e-16,4.2421226e-17,-1.4967726e-17,2.159125e-17,-1.7044076e-17,3.8498268e-18,-1.4928549e-18,2.1211252e-18,-7.660685e-19,8.973567e-19,-5.2615154e-19,3.64133e-19,-4.56649e-20,1.8661812e-19,-1.5022896e-19,3.6605107e-20,-5.2394565e-21,3.50407e-20,-3.6706773e-20
4.5389872e-11,5.4261037e-11,1.7349296e-11,1.2317175e-11,9.189699e-11,9.419981e-11,8.428059e-11,1.3656297e-11,1.9971051e-10,1.611458e-10,2.1254554e-10,-1.7159253e-11,3.0105568e-10,1.6324053e-10,3.2085365e-10,-9.9031235e-11,2.8515923e-10,6.420498e-11,2.5438954e-10,-1.5031419e-10,4.4601406e-11,-1.8274268e-11,2.6579839e-11,-2.3649619e-11,4.6135444e-12,-2.9947308e-12,3.6065313e-12,-2.3474252e-12,1.1556218e-12,-6.4032606e-13,7.360864e-13,-2.0225744e-13,3.791968e-13,-2.575447e-13,1.5294148e-13,-2.6320316e-14,8.61154e-14,-7.67717e-14,1.4949398e-14,-5.1098952e-15,1.7622404e-14,-2.0224155e-14
1.3533352e-09,2.000814e-09,1.5056778e-09,1.8079364e-09,1.7825269e-09,2.2554296e-09,2.4460487e-09,2.3192355e-09,3.172377e-09,2.410188e-09,4.01102e-09,2.215126e-09,4.6077306e-09,1.731262e-09,4.9673674e-09,1.2079096e-09,4.808696e-09,3.1612218e-10,3.93994e-09,-1.5246679e-10,2.0891922e-09,-9.0106395e-10,1.3700365e-09,-6.518492e-10,8.230717e-10,-5.0125276e-10,6.9926376e-10,-2.3344462e-10,4.3886636e-10,-2.8556582e-10,2.8784358e-10,-7.730667e-11,1.8493695e-10,-1.4709768e-10,7.7877677e-11,-2.6591033e-11,5.3097856e-11,-5.273055e-11,1.0347406e-11,-7.932189e-12,1.579573e-11,-1.9162973e-11
4.8662985e-09,1.0578562e-08,5.434943e-09,1.0758547e-08,6.8130275e-09,1.0985097e-08,7.923359e-09,1.1215083e-08,9.983263e-09,1.1400148e-08,1.1527493e-08,1.075828e-08,1.3424356e-08,1.0504948e-08,1.4683446e-08,8.864117e-09,1.5360232e-08,7.902726e-09,1.4802667e-08,5.8819745e-09,1.07009415e-08,1.4557323e-09,9.517501e-09,5.3717775e-10,7.777606e-09,-2.3581752e-09,6.7616903e-09,-1.3855944e-09,5.7883103e-09,-3.5888512e-09,4.1527968e-09,-1.771312e-09,3.418152e-09,-2.9541585e-09,1.7817404e-09,-1.2043584e-09,1.4935804e-09,-1.6332443e-09,4.862223e-10,-5.6917987e-10,7.167115e-10,-9.419683e-10
8.740698e-09,2.351049e-08,1.2217007e-08,2.3912023e-08,1.3548368e-08,2.2573536e-08,1.634481e-08,2.2476748e-08,1.7291578e-08,2.0610685e-08,1.9386883e-08,2.1016994e-08,2.0910646e-08,1.886511e-08,2.2417183e-08,1.9354717e-08,2.4629381e-08,1.7100888e-08,2.5299974e-08,1.6785307e-08,2.6684678e-08,1.0147517e-08,2.4379176e-08,3.767511e-09,2.1045246e-08,7.8423004e-11,1.8381412e-08,-4.138376e-09,1.4695667e-08,-5.920918e-09,1.247544e-08,-7.7387154e-09,9.693013e-09,-8.355012e-09,7.15329e-09,-7.83825e-09,5.6983884e-09,-7.82815e-09,3.925503e-09,-5.712171e-09,4.166501e-09,-6.7738792e-09
1.2320751e-08,1.8211495e-08,1.4005826e-08,1.7639534e-08,1.638932e-08,1.6401152e-08,1.6814926e-08,1.5145847e-08,1.6976792e-08,1.3578415e-08,1.6118001e-08,1.32930875e-08,1.5389332e-08,1.3493482e-08,1.5842073e-08,1.5393294e-08,1.8694587e-08,1.7331987e-08,2.2730461e-08,1.798777e-08,2.6412794e-08,1.82713e-08,2.8452684e-08,1.0013799e-08,2.8671757e-08,6.04312e-09,2.427663e-08,-4.2453725e-09,2.1365633e-08,-5.4492397e-09,1.7105398e-08,-1.2866217e-08,1.289305e-08,-1.2310444e-08,1.151331e-08,-1.5929142e-08,7.919815e-09,-1.4663278e-08,8.9716e-09,-1.6205098e-08,6.1861796e-09,-1.5286135e-08
1.639143e-08,-1.9345805e-08,1.6089887e-08,-1.9030148e-08,1.3329746e-08,-1.9458177e-08,1.1371957e-08,-1.862501e-08,8.790403e-09,-1.8011095e-08,5.9220158e-09,-1.7218264e-08,3.6724725e-09,-1.5169805e-08,1.4855259e-09,-1.5081081e-08,-2.7296465e-09,-1.3609388e-08,-3.7323264e-09,-9.961544e-09,4.885434e-09,-3.7270076e-09,6.567591e-09,2.2818278e-09,1.1013292e-08,4.488771e-09,1.0788761e-08,3.825655e-09,9.155254e-09,3.1816236e-09,8.1813765e-09,-3.6736931e-09,4.8351887e-09,-3.1142118e-09,6.597404e-09,-1.2025461e-08,4.7361186e-09,-1.1106564e-08,6.676646e-09,-1.9528699e-08,2.6861706e-09,-1.5518394e-08
1.7371073e-08,-4.9113453e-08,9.301166e-09,-4.9133032e-08,3.8072674e-09,-4.6120668e-08,-1.8047787e-10,-4.5459444e-08,-4.613113e-09,-4.3191775e-08,-6.2893872e-09,-4.073934e-08,-9.891105e-09,-4.1128516e-08,-1.2983578e-08,-3.7045773e-08,-1.42457e-08,-3.5927457e-08,-1.656088e-08,-3.421982e-08,-2.3807036e-08,-2.499082e-08,-2.085433e-08,-1.04223155e-08,-2.1573024e-08,-4.540838e-09,-1.2396872e-08,8.814546e-09,-5.3051266e-09,7.4216664e-09,-4.9767007e-10,1.682689e-08,6.8911126e-09,9.9312825e-09,4.6725366e-09,1.28602045e-08,7.668217e-09,6.877614e-09,-1.2658587e-10,4.8345314e-09,2.9482408e-12,4.7793174e-09
7.1441235e-09,-3.624364e-08,3.1417886e-09,-3.517268e-08,-1.1177143e-09,-3.5828936e-08,-5.8806164e-09,-3.1476013e-08,-6.0317626e-09,-3.0605438e-08,-9.516944e-09,-3.058666e-08,-1.0408019e-08,-2.8119176e-08,-1.2260193e-08,-3.182855e-08,-1.8449702e-08,-3.1752062e-08,-2.2060393e-08,-3.124436e-08,-2.5507088e-08,-3.047666e-08,-2.4643908e-08,-2.5054703e-08,-2.1989177e-08,-1.44441445e-08,-1.3534063e-08,4.62521e-09,-3.2867258e-09,1.226482e-08,9.089693e-09,2.8566443e-08,1.9360268e-08,2.843491e-08,2.1620465e-08,3.7290537e-08,2.3203896e-08,3.21587e-08,1.782548e-08,4.1627036e-08,1.7841945e-08,3.350022e-08
