1:U1,1:U2,22:U1,22:U2,43:U1,43:U2,64:U1,64:U2,85:U1,85:U2,106:U1,106:U2,127:U1,127:U2,148:U1,148:U2,169:U1,169:U2,190:U1,190:U2,211:U1,211:U2,232:U1,232:U2,253:U1,253:U2,274:U1,274:U2,295:U1,295:U2,316:U1,316:U2,337:U1,337:U2,358:U1,358:U2,379:U1,379:U2,400:U1,400:U2,421:U1,421:U2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7645603e-22,8.651494e-22,0.0,-1.0193999e-22,2.9116758e-21,2.9944603e-21,3.7587087e-21,-1.3115476e-21,1.0429093e-20,8.306533e-21,1.24407964e-20,-5.1588617e-21,1.8528846e-20,1.154591e-20,1.9481758e-20,-1.0335182e-20,1.5140714e-20,6.1012357e-21,1.1540824e-20,-8.848105e-21,7.940934e-22,-2.2199884e-22,0.0,-3.9124126e-22,0.0,-1.3909483e-23,0.0,-1.6423639e-23,0.0,-1.3479162e-24,0.0,-7.19704e-25,0.0,-4.747044e-25,0.0,-4.116641e-26,0.0,-1.3548814e-25,0.0,-4.498701e-27,0.0,-3.312708e-26
3.2307022e-16,3.7851247e-16,1.1176769e-16,5.125807e-17,7.802224e-16,7.922515e-16,7.4154177e-16,-3.108199e-17,1.9445268e-15,1.6071832e-15,2.0969554e-15,-4.7860437e-16,3.1062816e-15,1.8604335e-15,3.301582e-15,-1.3720591e-15,2.8169385e-15,8.6430067e-16,2.448442e-15,-1.6228459e-15,3.3784417e-16,-1.1962272e-16,1.8783125e-16,-1.6999475e-16,2.6537542e-17,-1.5726935e-17,1.918699e-17,-1.33603905e-17,5.3329194e-18,-2.7959633e-18,3.315287e-18,-9.639725e-19,1.6381617e-18,-1.0877033e-18,6.4882724e-19,-1.0485652e-19,3.4558944e-19,-3.1966733e-19,4.573978e-20,-1.8663822e-20,5.421011e-20,-8.186959e-20
6.305079e-14,8.26659e-14,4.471308e-14,4.613224e-14,9.779263e-14,1.0706209e-13,1.08341714e-13,6.710354e-14,1.8488027e-13,1.3619028e-13,2.1531297e-13,5.3945082e-14,2.6837956e-13,1.08580835e-13,2.8871182e-13,-9.603794e-15,2.7319566e-13,2.2768493e-14,2.3192253e-13,-8.119206e-14,7.3950354e-14,-3.493161e-14,4.5961648e-14,-3.3421677e-14,1.6862542e-14,-1.113336e-14,1.4262503e-14,-6.530383e-15,7.1636355e-15,-4.482424e-15,4.675771e-15,-1.2087341e-15,2.7734027e-15,-2.0984242e-15,1.1389137e-15,-3.0762818e-16,7.228918e-16,-6.951502e-16,1.3042952e-16,-8.0954803e-17,1.8672672e-16,-2.2358864e-16
7.482357e-13,1.180648e-12,7.7560267e-13,1.0673329e-12,1.0352806e-12,1.3439391e-12,1.2916748e-12,1.2799397e-12,1.7678921e-12,1.4999023e-12,2.15456e-12,1.2134239e-12,2.5371439e-12,1.2018846e-12,2.7386006e-12,6.7529527e-13,2.6595414e-12,4.5418346e-13,2.2741258e-12,-2.990198e-14,1.2053724e-12,-3.4306938e-13,8.725426e-13,-2.6298798e-13,5.9085375e-13,-3.0256486e-13,5.035334e-13,-1.3277264e-13,3.670562e-13,-2.3924325e-13,2.4628238e-13,-7.929103e-14,1.7722802e-13,-1.4769085e-13,8.098101e-14,-3.9272398e-14,6.142352e-14,-6.370821e-14,1.5157146e-14,-1.4976757e-14,2.3321406e-14,-2.927699e-14
3.3878599e-12,6.7308372e-12,3.7919346e-12,6.579049e-12,4.765702e-12,7.1362772e-12,5.7948754e-12,7.0951313e-12,7.378125e-12,7.441816e-12,8.776485e-12,6.7724637e-12,1.01659965e-11,6.43208e-12,1.1028538e-11,5.0347326e-12,1.12186215e-11,4.062434e-12,1.0296196e-11,2.539391e-12,6.934151e-12,1.8318394e-13,5.7579063e-12,-2.2540237e-13,4.468904e-12,-1.3292501e-12,3.8763107e-12,-8.994714e-13,3.1394529e-12,-1.846575e-12,2.308452e-12,-1.0334564e-12,1.845469e-12,-1.5808488e-12,1.0159196e-12,-7.608623e-13,8.419641e-13,-9.600372e-13,3.2775128e-13,-4.117323e-13,4.4332767e-13,-6.140215e-13
9.533992e-12,2.1036714e-11,1.1419308e-11,2.0951754e-11,1.3822632e-11,2.1357187e-11,1.6454168e-11,2.1231465e-11,1.9656152e-11,2.1183517e-11,2.2686075e-11,2.008287e-11,2.566724e-11,1.8930406e-11,2.7774264e-11,1.6626577e-11,2.9045632e-11,1.4396598e-11,2.8032266e-11,1.1505622e-11,2.2644584e-11,4.8421237e-12,2.0033477e-11,1.5096176e-12,1.6660147e-11,-2.2652735e-12,1.4463165e-11,-3.2127424e-12,1.18162095e-11,-5.8073806e-12,9.269299e-12,-5.05039e-12,7.306615e-12,-6.3313833e-12,4.786134e-12,-4.676432e-12,3.7999005e-12,-4.99934e-12,2.2857315e-12,-3.2958456e-12,2.4662945e-12,-3.9974478e-12
2.064509e-11,4.1494717e-11,2.4848228e-11,4.1331032e-11,2.9322513e-11,4.111417e-11,3.382351e-11,4.0417662e-11,3.850657e-11,3.946571e-11,4.294365e-11,3.7877465e-11,4.72445e-11,3.5900966e-11,5.0681966e-11,3.3308196e-11,5.3822204e-11,3.0319157e-11,5.390532e-11,2.640777e-11,4.845841e-11,1.5551619e-11,4.4793242e-11,6.6644958e-12,3.944337e-11,-9.696894e-13,3.4088062e-11,-6.955678e-12,2.8242426e-11,-1.1519436e-11,2.2570841e-11,-1.3761381e-11,1.745677e-11,-1.5490649e-11,1.2837816e-11,-1.4621224e-11,9.7837485e-12,-1.4607041e-11,7.582613e-12,-1.2496543e-11,6.8175743e-12,-1.3306794e-11
3.823087e-11,5.447177e-11,4.4132014e-11,5.4231192e-11,4.983334e-11,5.344511e-11,5.531923e-11,5.2359662e-11,6.058985e-11,5.0824893e-11,6.543767e-11,4.8998323e-11,7.008365e-11,4.687484e-11,7.4095195e-11,4.4368346e-11,7.795324e-11,4.1389458e-11,7.919036e-11,3.7604257e-11,7.553269e-11,2.5126045e-11,7.189574e-11,1.277684e-11,6.595949e-11,1.889287e-12,5.758633e-11,-9.328029e-12,4.8363733e-11,-1.6262484e-11,3.912162e-11,-2.3512386e-11,3.003368e-11,-2.5913893e-11,2.3620174e-11,-2.8556423e-11,1.7833695e-11,-2.813526e-11,1.532879e-11,-2.8456302e-11,1.2163253e-11,-2.7998392e-11
6.2340244e-11,4.925666e-11,6.7347905e-11,4.901997e-11,7.223297e-11,4.8535582e-11,7.70218e-11,4.75643e-11,8.144163e-11,4.639154e-11,8.569301e-11,4.497219e-11,8.957651e-11,4.3175845e-11,9.303874e-11,4.1298624e-11,9.630734e-11,3.880185e-11,9.759256e-11,3.5745826e-11,9.423272e-11,2.4751754e-11,9.1436754e-11,1.4312047e-11,8.516275e-11,2.6369204e-12,7.702593e-11,-8.399846e-12,6.681142e-11,-1.7922216e-11,5.6170003e-11,-2.6740882e-11,4.557247e-11,-3.1926243e-11,3.692963e-11,-3.739661e-11,2.9346796e-11,-3.858983e-11,2.3924165e-11,-4.2087e-11,1.8275e-11,-4.0535693e-11
8.930191e-11,3.0471608e-11,9.1671226e-11,3.0472836e-11,9.42513e-11,3.0440536e-11,9.6875064e-11,3.0309154e-11,9.976421e-11,2.990226e-11,1.02462996e-10,2.9013987e-11,1.04935394e-10,2.790298e-11,1.0700329e-10,2.6246652e-11,1.08342724e-10,2.4310288e-11,1.0840678e-10,2.1991286e-11,1.0411015e-10,1.3851985e-11,1.02123025e-10,7.627438e-12,9.6444484e-11,-7.4942743e-13,9.164439e-11,-5.9454048e-12,8.450489e-11,-1.4687368e-11,7.68742e-11,-1.9713594e-11,6.887727e-11,-2.7342089e-11,5.913209e-11,-3.215976e-11,5.0650317e-11,-3.6782074e-11,4.0326343e-11,-3.990441e-11,3.2253845e-11,-4.0250032e-11
1.14475644e-10,1.039206e-11,1.14945595e-10,1.0394572e-11,1.1550108e-10,1.04598925e-11,1.1619918e-10,1.0334788e-11,1.1696115e-10,1.0107025e-11,1.176289e-10,9.669011e-12,1.1846657e-10,9.020551e-12,1.1866691e-10,7.960085e-12,1.1887821e-10,6.797052e-12,1.1733849e-10,5.2207292e-12,1.1494369e-10,1.924354e-12,1.1246404e-10,-7.654142e-13,1.1063888e-10,-2.1720089e-12,1.09014374e-10,-3.5554658e-12,1.0770979e-10,-5.4250545e-12,1.05648316e-10,-6.69132e-12,1.02396716e-10,-1.096361e-11,9.602975e-11,-1.2618762e-11,8.810544e-11,-1.8151638e-11,7.6944846e-11,-1.7961263e-11,6.643707e-11,-2.1733478e-11
